DAY,GNB,DUNAME,DU,SECTOR,CARRIER,TGTGNB,TGTDU,TGTSECTOR,TGTCARRIER,EndcIntraChgAtt_per_GNB,EndcIntraChgSucc_per_GNB,EndcIntraChgFail_DuTimeout_per_GNB,EndcIntraChgFail_RrcTo_per_GNB,DATA_CLASSIFICATION
2026-01-15,9000001,SYNTH-NORTH-01,1001,1,1,9000002,1002,1,1,520,509,7,4,SYNTHETIC
2026-01-15,9000001,SYNTH-NORTH-01,1001,2,1,9000003,1003,2,1,410,399,6,5,SYNTHETIC
2026-01-15,9000001,SYNTH-NORTH-01,1001,3,1,9000005,1005,1,1,145,101,26,18,SYNTHETIC
2026-01-15,9000002,SYNTH-NORTH-02,1002,1,1,9000001,1001,1,1,495,486,5,4,SYNTHETIC
2026-01-15,9000002,SYNTH-NORTH-02,1002,2,1,9000006,1006,2,1,355,348,4,3,SYNTHETIC
2026-01-15,9000003,SYNTH-CENTRAL-01,1003,1,1,9000004,1004,1,1,288,271,10,7,SYNTHETIC
2026-01-15,9000003,SYNTH-CENTRAL-01,1003,2,1,9000007,1007,2,1,372,363,5,4,SYNTHETIC
2026-01-15,9000004,SYNTH-EAST-01,1004,1,1,9000008,1008,1,1,214,198,9,7,SYNTHETIC
2026-01-15,9000004,SYNTH-EAST-01,1004,2,1,9000005,1005,2,1,180,155,15,10,SYNTHETIC
2026-01-15,9000005,SYNTH-REMOTE-01,1005,1,1,9000001,1001,3,1,132,91,23,18,SYNTHETIC
2026-01-15,9000006,SYNTH-WEST-01,1006,1,1,9000002,1002,3,1,318,312,3,3,SYNTHETIC
2026-01-15,9000007,SYNTH-SOUTH-01,1007,1,1,9000003,1003,3,1,267,258,5,4,SYNTHETIC
2026-01-15,9000008,SYNTH-RING-01,1008,1,1,9000004,1004,3,1,196,181,8,7,SYNTHETIC
